age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
42.0, Private,147150.23, Assoc-acdm,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
45.0, Private,181955.61, Assoc-acdm,10.0, Married-spouse-absent, Craft-repair, Other-relative, White, Female,0.0,0.0,60.0, Peru, <=50K
47.0, Private,207533.62, Assoc-acdm,14.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
61.0, Private,143237.38, Some-college,9.0, Never-married, Craft-repair, Own-child, White, Female,0.0,0.0,40.0, Peru, <=50K
59.0, Private,226362.92, 10th,10.0, Married-spouse-absent, Transport-moving, Other-relative, White, Male,0.0,0.0,40.0, Peru, <=50K
40.0, Private,159222.66, Some-college,10.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,263747.25, Some-college,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
45.0, Never-worked,142743.6, 10th,14.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,38.0, Peru, <=50K
45.0, Private,165606.73, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
37.0, Private,243697.72, Assoc-acdm,9.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,47.487785, Peru, <=50K
35.0, Private,211006.27, Some-college,11.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
35.0, Private,160658.3, 7th-8th,13.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, Peru, <=50K
35.0, Private,216865.83, Assoc-acdm,10.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,50.0, Peru, <=50K
59.0, Private,250594.72, 10th,9.0, Never-married, Sales, Husband, White, Male,0.0,0.0,31.097454, Peru, <=50K
44.0, Private,199147.94, Masters,9.0, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0.0,0.0,84.86174, Peru, <=50K
41.0, Private,151962.36, 10th,9.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, Peru, <=50K
34.0, Private,189813.62, Masters,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,43.0, Peru, <=50K
41.0, Private,223313.06, Assoc-acdm,9.0, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0.0,0.0,50.0, Peru, >50K
